resume_id,resume_text,category
1,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
2,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
3,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
4,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
5,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
6,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
7,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
8,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
9,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
10,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
11,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
12,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
13,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
14,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
15,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
16,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
17,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
18,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
19,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
20,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
21,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
22,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
23,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
24,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
25,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
26,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
27,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
28,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
29,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
30,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
31,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
32,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
33,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
34,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
35,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
36,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
37,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
38,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
39,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
40,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
41,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
42,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
43,"Candidate has skills relevant to Data Science, completed projects and certifications.",Data Science
44,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
45,"Candidate has skills relevant to DevOps, completed projects and certifications.",DevOps
46,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
47,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
48,"Candidate has skills relevant to Testing, completed projects and certifications.",Testing
49,"Candidate has skills relevant to Java Developer, completed projects and certifications.",Java Developer
50,"Candidate has skills relevant to Web Development, completed projects and certifications.",Web Development
